chr	start	end	target	0	strand
chr1	42765349	42766559		0	+
chr1	42958277	43001087		0	+
chr1	43339503	43343742		0	-
chr1	43351609	43358912		0	-
chr1	43892681	43909096		0	-
chr1	43968351	43974821		0	-
chr1	44781870	44869447		0	+
chr1	47357154	47437695		0	-
chr1	53011468	53018069		0	+
chr1	56924249	57014861		0	+
chr1	58576307	58771295		0	+
chr1	58655456	58669291		0	-
chr1	62481103	62491517		0	+
chr1	63529942	63597323		0	+
chr1	65630589	65639099		0	-
chr1	66999344	67010701		0	-
chr1	67053740	67055836		0	+
chr1	67831259	68202987		0	+
chr1	70415728	70458385		0	-
chr1	84123710	84299625		0	-
chr1	85274018	85448833		0	+
chr1	92246492	92254856		0	-
chr1	93965379	94005422		0	+
chr1	94021102	94032239		0	+
chr1	94037337	94038290		0	+
chr1	94120561	94123470		0	+
chr1	94183216	94185276		0	-
chr1	97095923	97392698		0	+
chr1	97415169	97486639		0	+
chr1	97917845	97920997		0	-
chr1	100218710	100253414		0	+
chr1	100462399	100658993		0	-
chr1	102887017	102888611		0	+
chr1	102914389	103108157		0	+
chr1	109608352	109610428		0	+
chr1	109611311	109615485		0	+
chr1	110507567	110728519		0	+
chr1	111117916	111120992		0	-
chr1	111978757	112162051		0	-
chr1	111939795	111999349		0	+
chr1	113812314	113901278		0	+
chr1	114741567	114757957		0	-
chr1	115179732	115373054		0	+
chr1	115750117	115790686		0	+
chr1	116390575	116418635		0	-
chr1	119047093	119115006		0	+
chr1	119129699	119278655		0	+
chr1	119419539	119431525		0	-
chr1	119743883	119744212		0	-
chr1	149002975	149009600		0	-
chr1	145913099	145918704		0	-
chr1	147908668	147928680		0	-
chr1	150507508	150515637		0	-
chr1	150544932	150557989		0	-
chr1	151430714	151433929		0	-
chr1	152164941	152445460		0	+
chr1	153215488	153261538		0	-
chr1	153658862	153661780		0	+
chr1	154183515	154200480		0	+
chr1	154714740	154726144		0	+
chr1	155313708	155324176		0	-
chr1	155562030	155621328		0	+
chr1	155609339	155614929		0	-
chr1	160198627	160213498		0	-
chr1	160261149	160282017		0	+
chr1	160284193	160291375		0	+
chr1	161140988	161159488		0	-
chr1	164561141	164565884		0	-
chr1	165204047	165213407		0	+
chr1	165247305	165258654		0	+
chr1	167431173	167435829		0	-
chr1	167820098	167836611		0	+
chr1	168621555	168701890		0	+
chr1	168695874	169103460		0	-
chr1	169542212	169542462		0	+
chr1	170460347	170539145		0	-
chr1	170668752	171252681		0	-
chr1	171636661	171636876		0	+
chr1	172369471	172456471		0	-
chr1	175010803	175023415		0	-
chr1	175287553	175336200		0	+
chr1	176880115	176884721		0	+
chr1	179551071	179554713		0	+
chr1	182386273	182391759		0	-
chr1	192167786	192961182		0	-
chr1	192809042	192812275		0	+
chr1	193121267	193130659		0	-
chr1	193207020	193217254		0	-
chr1	196181376	196303195		0	+
chr1	196384779	196569266		0	+
chr1	196688977	196713801		0	+
chr1	196797546	196933955		0	-
chr1	196826987	196832181		0	+
chr1	197017514	197062700		0	+
chr1	197350107	197409847		0	-
chr1	197437036	197447470		0	-
chr1	197457889	197487467		0	-
chr1	200644039	200657756		0	-
chr1	201023944	201043074		0	+
chr1	201052809	201060506		0	+
chr1	201359017	201362026		0	-
chr1	201365278	201373254		0	-
chr1	202590595	202605579		0	+
chr1	202766422	202808027		0	-
chr1	204377500	204444403		0	+
chr1	207324658	207360501		0	+
chr1	207762926	207880102		0	-
chr1	216014219	216137546		0	+
chr1	216072452	216086918		0	+
chr1	216189836	216238039		0	+
chr1	228346135	228351990		0	-
chr1	229430444	229434234		0	+
chr1	230198052	230203292		0	+
chr1	230218658	230252266		0	+
chr1	230710698	230795512		0	-
chr1	234291306	234407375		0	+
chr1	234606075	234609483		0	+
chr1	235454212	235504196		0	-
chr1	235669730	235711204		0	+
chr1	235714466	235720628		0	+
chr1	237670258	237675863		0	-
chr1	240175688	240194907		0	-
chr1	243368256	243394798		0	-
chr1	244842636	244859006		0	+
chr1	244840243	244848912		0	-
chr2	1409690	1626813		0	-
chr2	1538568	1542316		0	-
chr2	1624202	1643806		0	+
chr2	1646929	1659208		0	+
chr2	1795517	1811526		0	+
chr2	1842913	1851669		0	+
chr2	1973547	1994787		0	+
chr2	3467910	3483253		0	-
chr2	3586379	3609386		0	-
chr2	9501466	9512895		0	+
chr2	11766073	12227410		0	+
chr2	15166938	15169547		0	-
chr2	15918350	15942249		0	-
chr2	19935560	19938439		0	+
chr2	19989419	20004823		0	+
chr2	24793141	24814486		0	+
chr2	25697493	25759152		0	+
chr2	26193779	26197679		0	+
chr2	26200799	26203267		0	+
chr2	26236454	26258303		0	+
chr2	27063480	27071699		0	-
chr2	27335520	27367879		0	+
chr2	29063293	29096793		0	+
chr2	29195705	29239774		0	+
chr2	29841187	30147798		0	-
chr2	31523831	31772922		0	-
chr2	32150442	32165757		0	-
chr2	32233370	32267092		0	+
chr2	38684851	38733576		0	-
chr2	39015632	39031084		0	+
chr2	42048069	42053327		0	-
chr2	42775899	42827593		0	+
chr2	43843763	43844522		0	-
chr2	46289386	46487784		0	-
chr2	46373096	46429086		0	-
chr2	46899275	46908753		0	+
chr2	47067822	47074141		0	+
chr2	47253015	47411003		0	+
chr2	47480781	47482872		0	-
chr2	47806922	47809723		0	-
chr2	47905495	47920593		0	+
chr2	48777366	49443683		0	+
chr2	50225134	50345598		0	+
chr2	50620173	50632993		0	+
chr2	55647401	55671368		0	-
chr2	55705395	56386171		0	+
chr2	55805662	56035156		0	+
chr2	58192325	58223086		0	+
chr2	61008823	61018286		0	-
chr2	61017222	61019380		0	+
chr2	63059789	63201606		0	+
chr2	64877156	65056214		0	-
chr2	70913003	70948619		0	-
chr2	71082537	71182251		0	+
chr2	71545056	71561621		0	-
chr2	73455232	73459483		0	+
chr2	73834309	73858028		0	-
chr2	73946921	74025835		0	-
chr2	73985553	73986526		0	-
chr2	74087350	74089335		0	-
chr2	74086571	74128978		0	+
chr2	80572681	80886775		0	-
chr2	85658269	85699404		0	-
chr2	85863362	85866200		0	-
chr2	86018771	86034790		0	+
chr2	86280455	86288921		0	+
chr2	88534753	88575611		0	+
chr2	96248582	96272870		0	-
chr2	96806166	96809268		0	+
chr2	100970767	100977766		0	-
chr2	108914301	108926685		0	+
chr2	110127246	110135343		0	+
chr2	110178091	110204991		0	-
chr2	113055680	113375557		0	-
chr2	113208104	113276581		0	+
chr2	121530332	121533889		0	+
chr2	127423340	127473707		0	-
chr2	135820191	135829678		0	+
chr2	136114900	136115649		0	+
chr2	137979584	138501735		0	-
chr2	144349887	144498565		0	+
chr2	151500615	151502436		0	+
chr2	151531926	151536191		0	+
chr2	151546451	151547635		0	+
chr2	151570564	151575252		0	+
chr2	151590032	151600722		0	+
chr2	151613841	151662578		0	+
chr2	152717826	152760595		0	+
chr2	160035060	160141970		0	+
chr2	160125416	160128333		0	+
chr2	161422659	161424624		0	-
chr2	164839770	165295880		0	+
chr2	165933857	165950287		0	+
chr2	165957175	166390771		0	+
chr2	168947868	168957994		0	+
chr2	169813119	169816595		0	+
chr2	171771784	171793788		0	+
chr2	172464229	172558707		0	-
chr2	173165376	173354829		0	-
chr2	174531973	174847133		0	+
chr2	175166467	175226558		0	+
chr2	175923864	175944962		0	-
chr2	177508194	177520872		0	-
chr2	177644773	177728919		0	+
chr2	177898114	177922795		0	-
chr2	178413635	178443038		0	+
chr2	178649283	178679393		0	-
chr2	178723252	178727046		0	+
chr2	178784900	178788295		0	+
chr2	181538260	181538634		0	-
chr2	181547054	181549570		0	+
chr2	181661826	181679247		0	+
chr2	182924888	182926906		0	-
chr2	185652374	186486189		0	-
chr2	188966458	188984800		0	-
chr2	188994064	188995767		0	-
chr2	189007611	189010356		0	-
chr2	189100347	189179806		0	-
chr2	189852771	189879675		0	-
chr2	190876948	190882059		0	-
chr2	190900197	190902772		0	+
chr2	190919530	190921520		0	+
chr2	196214031	196229943		0	+
chr2	196830185	196925498		0	+
chr2	199455818	199477048		0	+
chr2	202521213	202551118		0	-
chr2	203931966	203951748		0	-
chr2	206159638	206162077		0	+
chr2	208119106	208184801		0	+
chr2	208266255	208285165		0	+
chr2	208273599	208284367		0	+
chr2	209887826	209893019		0	-
chr2	210252748	210407557		0	+
chr2	214809183	215085488		0	+
chr2	215356855	215373378		0	+
chr2	218270520	218272911		0	+
chr2	219002041	219017375		0	+
chr2	219421436	219426734		0	+
chr2	219481647	219517129		0	-
chr2	219556316	219559626		0	+
chr2	221455603	221467730		0	-
chr2	222155233	222259924		0	+
chr2	223962746	223968963		0	-
chr2	226796215	226819886		0	+
chr2	227220973	227325711		0	-
chr2	230199052	230234967		0	+
chr2	233308818	233311392		0	-
chr2	240857184	240870637		0	-
chr2	241730872	241735498		0	-
chr2	241755920	241762073		0	-
chr3	3139630	3146508		0	+
chr3	3150537	3156280		0	-
chr3	4683699	4712481		0	-
chr3	4814294	4887293		0	-
chr3	7516530	8612054		0	-
chr3	9448475	9452951		0	+
chr3	9466297	9470505		0	-
chr3	9839901	9840827		0	-
chr3	9940441	9943132		0	-
chr3	10042614	10048059		0	+
chr3	10081320	10108223		0	-
chr3	10148326	10153664		0	-
chr3	12430223	12438733		0	-
chr3	12876344	12943115		0	+
chr3	15427825	15455940		0	-
chr3	20173259	21257884		0	+
chr3	24005867	24238829		0	+
chr3	25475662	25504205		0	-
chr3	33083290	33136558		0	+
chr3	37011419	37046645		0	+
chr3	38010199	38016563		0	+
chr3	39292556	39393194		0	-
chr3	45517963	45548837		0	+
chr3	45792733	45827511		0	+
chr3	45830946	45842116		0	-
chr3	46694284	46705894		0	+
chr3	46979865	46989295		0	+
chr3	47375920	47381492		0	-
chr3	48839007	48862560		0	+
chr3	48990413	48990982		0	-
chr3	49416834	49422172		0	-
chr3	49722992	49723772		0	-
chr3	50341050	50348088		0	+
chr3	50365098	50368199		0	+
chr3	50374381	50377168		0	+
chr3	50391790	50456255		0	+
chr3	52288580	52299067		0	-
chr3	52329053	52345068		0	-
chr3	52407179	52408047		0	-
chr3	52408688	52409676		0	+
chr3	53720537	53731085		0	-
chr3	55474630	55480194		0	+
chr3	58162547	58170636		0	-
chr3	64187359	64201561		0	+
chr3	71104602	71130604		0	-
chr3	71772101	71784803		0	-
chr3	81489569	81533666		0	-
chr3	81499179	81526624		0	+
chr3	93906040	93938864		0	-
chr3	93958698	93973720		0	+
chr3	93980482	93980682		0	+
chr3	93997253	94003967		0	+
chr3	94068613	94084784		0	-
chr3	113366119	113379385		0	-
chr3	113401805	113470170		0	+
chr3	114339062	114389185		0	+
chr3	119402311	119418215		0	-
chr3	119498532	119517315		0	+
chr3	120145354	120194087		0	+
chr3	122254321	122306508		0	-
chr3	122328621	122341670		0	+
chr3	123584697	123659511		0	+
chr3	123688623	123718005		0	+
chr3	123733044	123737047		0	+
chr3	128394566	128411744		0	-
chr3	128879992	128885324		0	-
chr3	129023497	129067837		0	-
chr3	130997732	131016683		0	+
chr3	131487789	131690023		0	+
chr3	132721750	132874660		0	+
chr3	133333377	133491146		0	-
chr3	134532331	134569782		0	-
chr3	138066590	138070497		0	+
chr3	138099564	138106440		0	+
chr3	142476827	142493176		0	+
chr3	148282888	148960760		0	-
chr3	149161587	149162320		0	+
chr3	150742529	151080726		0	+
chr3	150965629	150972554		0	+
chr3	151087422	151122966		0	+
chr3	151392608	151415297		0	-
chr3	155158370	155195649		0	-
chr3	155828228	155842605		0	-
chr3	164896264	165007167		0	+
chr3	165015100	165039807		0	+
chr3	165044582	165084632		0	+
chr3	165206903	165846519		0	+
chr3	165773079	165805974		0	-
chr3	167697007	167734724		0	-
chr3	170434921	170860993		0	+
chr3	170908744	171206327		0	+
chr3	171600826	171609401		0	-
chr3	171617860	171646676		0	+
chr3	177027783	177033022		0	+
chr3	177034278	177050114		0	-
chr3	177037405	177048345		0	+
chr3	180661872	180871005		0	-
chr3	180989762	181836880		0	+
chr3	181704514	181727934		0	-
chr3	183016255	183017808		0	+
chr3	184074024	184217361		0	-
chr3	184372714	184373437		0	-
chr3	185499054	185553037		0	+
chr3	187208496	187227192		0	+
chr3	189807694	189835436		0	-
chr3	189846174	189869492		0	-
chr3	192028987	192179577		0	+
chr3	193644287	193683279		0	-
chr3	196239565	196240618		0	-
chr3	196315893	196335276		0	+
chr4	652850	656213		0	-
chr4	657319	659417		0	-
chr4	660671	664210		0	-
chr4	788764	795722		0	+
chr4	987169	989623		0	+
chr4	5562563	5568483		0	-
chr4	5638712	5677022		0	+
chr4	5685330	5686703		0	+
chr4	6291998	6309445		0	-
chr4	9977922	9981977		0	+
chr4	13482774	13526412		0	+
chr4	15004844	15545695		0	-
chr4	17482674	17539620		0	+
chr4	25160050	25201440		0	+
chr4	39467647	39472432		0	-
chr4	41746303	41855261		0	+
chr4	46363729	46389796		0	-
chr4	47011703	47032702		0	-
chr4	47913806	48014696		0	+
chr4	52028771	52038245		0	-
chr4	54733334	54753412		0	-
chr4	55363971	55398136		0	-
chr4	55889743	55974326		0	-
chr4	55971273	55981346		0	+
chr4	64276473	64309931		0	-
chr4	67562933	67575889		0	+
chr4	67700353	68081496		0	+
chr4	70594714	70606226		0	-
chr4	70637745	70686816		0	+
chr4	73102443	73114184		0	+
chr4	73450715	73462519		0	-
chr4	76148557	76200666		0	+
chr4	79826751	80004244		0	+
chr4	79905571	80071654		0	-
chr4	82373451	82407291		0	+
chr4	83281679	83284575		0	+
chr4	84796614	84810403		0	+
chr4	87542770	87741413		0	-
chr4	87974385	88017552		0	-
chr4	93793177	93852853		0	-
chr4	99593428	99625913		0	-
chr4	102305025	102324965		0	-
chr4	102560368	102578849		0	-
chr4	102597670	102616271		0	-
chr4	102634967	102640983		0	+
chr4	103161067	103185102		0	+
chr4	103547224	103624534		0	+
chr4	105168197	105352986		0	-
chr4	106232998	106238708		0	-
chr4	107847582	107989736		0	-
chr4	109730987	109746488		0	-
chr4	109794410	109802105		0	-
chr4	109949757	109980454		0	-
chr4	112646320	112651734		0	-
chr4	119260987	119264247		0	-
chr4	120764700	120785502		0	+
chr4	120921942	120931210		0	+
chr4	125477324	125678104		0	-
chr4	128884487	128891492		0	+
chr4	139131840	139177218		0	-
chr4	139289953	139302479		0	-
chr4	145642248	145650624		0	-
chr4	146933956	146983954		0	+
chr4	151012367	151015284		0	-
chr4	154586253	154586663		0	+
chr4	155713107	155758415		0	-
chr4	157116851	157135612		0	-
chr4	157145215	157186081		0	-
chr4	157298734	157349910		0	-
chr4	173527270	174083078		0	+
chr4	174491870	174522432		0	-
chr4	174507939	174541346		0	+
chr4	177434694	177439339		0	+
chr4	177442189	177697739		0	+
chr4	182644735	182686967		0	-
chr4	182793899	182818882		0	-
chr4	185143637	185145100		0	-
chr4	186207252	186213452		0	+
chr4	186251524	186260309		0	-
chr4	186286094	186501472		0	-
chr5	254374	271628		0	-
chr5	473220	481049		0	+
chr5	6582136	6600288		0	+
chr5	7869148	7883265		0	+
chr5	10962359	11028837		0	+
chr5	11217477	11237067		0	+
chr5	13867366	13870092		0	+
chr5	14461272	14470128		0	-
chr5	16465870	16486596		0	+
chr5	16611498	16681905		0	+
chr5	33984791	33986026		0	+
chr5	35059933	35244474		0	+
chr5	35675954	35860399		0	-
chr5	37075500	37108353		0	+
chr5	37227233	37230707		0	-
chr5	37247643	37284776		0	+
chr5	39255620	39366264		0	+
chr5	40936338	40945360		0	+
chr5	40979724	40982928		0	+
chr5	41037052	41357404		0	+
chr5	42627920	42632401		0	-
chr5	55226608	55232017		0	+
chr5	55936040	55941727		0	+
chr5	56842016	56862164		0	-
chr5	58937272	59146321		0	+
chr5	59034281	59065051		0	+
chr5	59153233	59295157		0	+
chr5	60882557	60908186		0	+
chr5	60914863	60920881		0	+
chr5	68235333	68316166		0	-
chr5	68278860	68319937		0	-
chr5	69113112	69166937		0	-
chr5	71599721	71602546		0	-
chr5	77211185	77216884		0	+
chr5	78816446	78840036		0	+
chr5	80411231	80488427		0	-
chr5	80654360	80665353		0	+
chr5	83103790	83106052		0	-
chr5	83166234	83387063		0	-
chr5	83513481	83582047		0	-
chr5	87372219	87376386		0	-
chr5	88675022	88779187		0	+
chr5	90822882	90844785		0	-
chr5	90919899	91047896		0	-
chr5	91062040	91103358		0	-
chr5	91054834	91314547		0	-
chr5	93341683	93607053		0	-
chr5	94374597	94473387		0	+
chr5	96379561	96638292		0	-
chr5	98883134	98888186		0	-
chr5	112707621	112775653		0	+
chr5	112731309	112813837		0	-
chr5	114446874	114773413		0	-
chr5	116446231	116508276		0	+
chr5	119531378	119535814		0	-
chr5	126749704	126778230		0	-
chr5	127449078	127477454		0	-
chr5	128320231	128366423		0	+
chr5	128444858	128447989		0	+
chr5	129361560	129461868		0	-
chr5	129500361	129905927		0	-
chr5	131159335	131165256		0	-
chr5	131198288	131224819		0	-
chr5	132311277	132376935		0	-
chr5	132595154	132600107		0	+
chr5	132629341	132666458		0	-
chr5	134199409	134201889		0	+
chr5	135033382	135358219		0	+
chr5	137678255	137715039		0	+
chr5	137770041	137889394		0	-
chr5	138115706	138118207		0	+
chr5	138543256	138593290		0	+
chr5	139012647	139054178		0	+
chr5	139476345	139477966		0	-
chr5	139478352	139481349		0	-
chr5	140114420	140114769		0	-
chr5	141573740	141573984		0	+
chr5	141618163	141626482		0	+
chr5	141949411	141955721		0	+
chr5	143258543	143310137		0	+
chr5	146098324	146120413		0	+
chr5	146307098	146376983		0	-
chr5	147829084	147831560		0	+
chr5	148082852	148383907		0	-
chr5	151555911	151583152		0	+
chr5	151674614	151726300		0	+
chr5	151912071	152270463		0	+
chr5	156276118	156376289		0	-
chr5	157195918	157224381		0	-
chr5	159310171	159805536		0	+
chr5	161302761	161522840		0	+
chr5	161893539	162016349		0	-
chr5	163482571	163494080		0	-
chr5	170017715	170070253		0	-
chr5	171854395	171879889		0	+
chr5	173176623	173255537		0	+
chr5	173607799	173616358		0	-
chr5	177402196	177403311		0	-
chr5	178913964	178990116		0	+
chr5	179829036	179833386		0	+
chr6	1453286	1623890		0	-
chr6	3104423	3118673		0	-
chr6	6167433	6245419		0	+
chr6	6285895	6356687		0	+
chr6	7539834	7544903		0	-
chr6	10404502	10416665		0	+
chr6	10570210	10661036		0	-
chr6	12595021	12749827		0	-
chr6	13253744	13328538		0	-
chr6	15243813	15248696		0	-
chr6	15524645	15570653		0	+
chr6	21485896	21595593		0	-
chr6	25992641	26271353		0	+
chr6	26085889	26091576		0	-
chr6	26093029	26094264		0	-
chr6	31682895	31687934		0	+
chr6	31877808	31884488		0	+
chr6	31934449	31941724		0	-
chr6	32054301	32061535		0	+
chr6	32087196	32094032		0	+
chr6	32472953	32589855		0	+
chr6	32519397	32581829		0	+
chr6	33424132	33426550		0	-
chr6	33436836	33454512		0	-
chr6	33772250	33776679		0	+
chr6	35309750	35319151		0	-
chr6	36238486	36304667		0	-
chr6	36256804	36272331		0	-
chr6	38723098	38751301		0	-
chr6	38900072	38906392		0	+
chr6	38906495	38956643		0	-
chr6	41140867	41178568		0	+
chr6	42627530	42704411		0	+
chr6	42705678	42801926		0	+
chr6	42976709	43003193		0	-
chr6	43624073	43628126		0	+
chr6	45421077	45422599		0	-
chr6	45512246	45551056		0	+
chr6	49566146	49821355		0	+
chr6	50816675	50838255		0	-
chr6	51041956	51632622		0	+
chr6	51649229	51688441		0	+
chr6	51931431	51941216		0	+
chr6	51959943	51965090		0	+
chr6	51988977	52032305		0	+
chr6	52068808	52073134		0	+
chr6	54146386	54200378		0	-
chr6	56464760	56467970		0	+
chr6	63805525	63823590		0	+
chr6	63844785	63931753		0	+
chr6	63950692	64044553		0	+
chr6	64262606	64307917		0	+
chr6	64945799	65297934		0	-
chr6	70281593	70285185		0	+
chr6	72607037	72623584		0	-
chr6	72945620	73076355		0	-
chr6	73124990	73143534		0	-
chr6	73473553	73481028		0	+
chr6	73585983	73601062		0	+
chr6	79001974	79004395		0	-
chr6	79004506	79071291		0	+
chr6	79415177	79529276		0	+
chr6	85505798	85510301		0	-
chr6	85617926	85629514		0	-
chr6	98873934	98899346		0	-
chr6	100393544	100445425		0	+
chr6	101872311	102170141		0	-
chr6	107929387	107930735		0	+
chr6	109467676	109476836		0	-
chr6	109767122	109784757		0	-
chr6	111482742	111573440		0	+
chr6	111483049	111602930		0	+
chr6	116258549	116370274		0	+
chr6	116628326	116632344		0	-
chr6	116911515	116916593		0	-
chr6	117310756	117365094		0	+
chr6	118548313	118561847		0	+
chr6	121446863	121447122		0	-
chr6	123308405	123339509		0	+
chr6	123389421	123513455		0	+
chr6	123519439	123570916		0	+
chr6	123589711	123685323		0	+
chr6	127296987	127341875		0	+
chr6	129088136	129183807		0	-
chr6	129439485	129576047		0	-
chr6	133366096	133930710		0	-
chr6	139239328	139668150		0	+
chr6	145734861	145922847		0	+
chr6	150374613	150458053		0	-
chr6	151345518	151488063		0	+
chr6	152380297	152382335		0	+
chr6	152402140	152405161		0	+
chr6	152426771	152428544		0	+
chr6	156768808	156779265		0	-
chr6	156935532	156985627		0	+
chr6	158988178	159088114		0	+
chr6	159583844	159883529		0	+
chr6	161544607	161595373		0	+
chr6	166364915	166382998		0	-
chr6	166394035	166421689		0	+
chr6	166933375	166957191		0	-
chr6	169212680	169245773		0	+
chr6	169751625	169759923		0	+
chr7	82179	194357		0	-
chr7	750910	759799		0	-
chr7	763875	768472		0	-
chr7	783231	786413		0	+
chr7	1493470	1494458		0	+
chr7	2545406	2548637		0	+
chr7	5527162	5528043		0	-
chr7	5528235	5528602		0	+
chr7	6374603	6390597		0	+
chr7	10933515	10940256		0	-
chr7	15361426	15387440		0	+
chr7	16208520	16295060		0	+
chr7	16420691	16471809		0	+
chr7	21559777	21577954		0	-
chr7	21705485	21710605		0	+
chr7	21749836	21750975		0	-
chr7	21815734	21816873		0	-
chr7	22977868	23000257		0	+
chr7	25025371	25222450		0	+
chr7	26190128	26193374		0	-
chr7	27095647	27102043		0	+
chr7	27198575	27207757		0	+
chr7	29987002	30027543		0	+
chr7	30967829	30971996		0	-
chr7	30972101	30981269		0	-
chr7	33528916	33545703		0	-
chr7	33554848	33605784		0	+
chr7	40132805	40134626		0	-
chr7	42074740	42085848		0	+
chr7	43752434	43839030		0	-
chr7	44065005	44071671		0	+
chr7	44147076	44149773		0	+
chr7	47795391	47832816		0	+
chr7	47875756	47878586		0	+
chr7	50502297	50548136		0	+
chr7	55019296	55020877		0	-
chr7	55150308	55156125		0	-
chr7	55158866	55161285		0	-
chr7	55171673	55188949		0	-
chr7	65964146	65975006		0	-
chr7	70694873	70746671		0	+
chr7	72788875	73420450		0	+
chr7	73269935	73415650		0	-
chr7	74037385	74045033		0	-
chr7	74058461	74062284		0	-
chr7	75977623	75980919		0	-
chr7	81690254	82072476		0	+
chr7	83871368	83987336		0	+
chr7	87409235	87409697		0	-
chr7	88139470	88189714		0	-
chr7	92134499	92226603		0	+
chr7	92200007	92206857		0	-
chr7	92457564	92496144		0	+
chr7	94418419	94428429		0	-
chr7	96321540	96324930		0	+
chr7	100200686	100218616		0	-
chr7	100806539	100817072		0	+
chr7	103299501	103312362		0	+
chr7	103445207	103514032		0	+
chr7	103522846	103539169		0	+
chr7	103609892	103658057		0	+
chr7	105014215	105074752		0	+
chr7	105553629	105565108		0	+
chr7	107205463	107262762		0	+
chr7	107525272	107580149		0	-
chr7	107650260	107662850		0	-
chr7	107672788	107678763		0	-
chr7	107935561	107942740		0	+
chr7	111808505	111823182		0	+
chr7	114288019	114631705		0	+
chr7	116542718	116559613		0	-
chr7	117447905	117504308		0	+
chr7	117517139	117535411		0	+
chr7	117604533	117691046		0	-
chr7	120651453	120780685		0	-
chr7	123641289	123679731		0	-
chr7	129191026	129214115		0	-
chr7	130383499	130384655		0	-
chr7	134658601	135078066		0	-
chr7	138044343	138088618		0	-
chr7	139340453	139345790		0	+
chr7	139829249	139913531		0	+
chr7	141652381	141656810		0	-
chr7	141703342	141738346		0	-
chr7	141738321	141750457		0	+
chr7	142621708	142750627		0	-
chr7	144403923	144779170		0	+
chr7	145697500	146157379		0	+
chr7	147190633	147300569		0	-
chr7	147300194	147411075		0	+
chr7	147896457	147937109		0	-
chr7	148074683	148155458		0	-
chr7	148342562	148438128		0	-
chr7	148802093	148824109		0	+
chr7	150974910	150977816		0	+
chr7	151471404	151507199		0	-
chr7	152553917	152685031		0	+
chr7	153733676	154540615		0	+
chr7	155803660	155804420		0	+
chr7	156763703	156892981		0	-
chr7	157005863	157007133		0	+
chr8	6315641	6408840		0	-
chr8	6615603	6708394		0	-
chr8	16114396	16160630		0	+
chr8	18059644	18084110		0	-
chr8	19885777	19942604		0	-
chr8	22205139	22206853		0	+
chr8	22412113	22415209		0	-
chr8	22984537	23007531		0	-
chr8	23591308	23805642		0	+
chr8	31143630	31177479		0	-
chr8	41663658	41665023		0	+
chr8	41785405	41797593		0	-
chr8	42328144	42331092		0	-
chr8	42842981	42876883		0	+
chr8	42856334	42861426		0	+
chr8	54710611	54748150		0	-
chr8	60799244	60812039		0	-
chr8	64762243	64951165		0	+
chr8	67173621	67180199		0	-
chr8	70669369	71228629		0	+
chr8	73979041	73981223		0	-
chr8	81356774	81618616		0	+
chr8	81643709	81680595		0	+
chr8	85440596	85464916		0	-
chr8	86581192	86818902		0	+
chr8	89933336	89953354		0	-
chr8	91048659	91070583		0	-
chr8	95204064	95812483		0	+
chr8	99192885	99289745		0	+
chr8	99655341	99784307		0	-
chr8	100185058	100191547		0	-
chr8	100215233	100233012		0	-
chr8	100233602	100245035		0	-
chr8	103315594	103323337		0	-
chr8	103958651	104006296		0	-
chr8	104428129	104431295		0	+
chr8	104465755	104484896		0	+
chr8	105463815	106060524		0	-
chr8	108871128	109088432		0	-
chr8	116857279	116874771		0	-
chr8	118620498	118937386		0	+
chr8	119756056	119762534		0	-
chr8	123453454	123523577		0	+
chr8	127252769	127738987		0	-
chr8	132120864	132234735		0	+
chr8	132637936	132674599		0	-
chr8	132868122	132873161		0	+
chr8	132888401	132901300		0	-
chr8	133007377	133012071		0	-
chr8	133113473	133116612		0	-
chr8	133130110	133145483		0	-
chr8	139910151	139910615		0	-
chr8	140262853	140287838		0	+
chr8	142874325	142912466		0	+
chr8	142875378	142913281		0	+
chr8	142877115	142915582		0	+
chr8	142879573	142917683		0	+
chr8	143578358	143583304		0	+
chr8	143829079	143834399		0	+
chr8	143919768	143920248		0	+
chr8	143927909	143929008		0	-
chr8	144413676	144415900		0	+
chr8	144427962	144442153		0	+
chr9	212824	216143		0	-
chr9	452028	493733		0	-
chr9	714503	792428		0	-
chr9	2039822	2047233		0	-
chr9	2107860	2116316		0	-
chr9	2322168	2643359		0	-
chr9	4118746	4298496		0	-
chr9	6509208	6536027		0	+
chr9	12602156	12815405		0	-
chr9	14748570	14763335		0	+
chr9	14779583	14796590		0	+
chr9	14835420	14848633		0	+
chr9	20848103	20944507		0	-
chr9	21932644	22239600		0	-
chr9	21959789	21979105		0	+
chr9	21994130	22876986		0	+
chr9	27154428	27169543		0	-
chr9	32972618	33001612		0	-
chr9	34507356	34517714		0	-
chr9	34655665	34908714		0	+
chr9	36214441	36255640		0	-
chr9	36257844	36319763		0	+
chr9	37002658	37008040		0	+
chr9	70413608	70609298		0	+
chr9	72826079	72831328		0	-
chr9	74629646	74642488		0	-
chr9	74647817	74660680		0	-
chr9	83971385	83972081		0	+
chr9	91210135	91218260		0	+
chr9	91341629	91361797		0	-
chr9	92055472	92076844		0	-
chr9	92287824	92292397		0	-
chr9	94554461	94603990		0	+
chr9	94604741	94619387		0	+
chr9	95130972	95161286		0	+
chr9	95135032	95141733		0	+
chr9	95185177	95393999		0	+
chr9	95185277	95427258		0	-
chr9	95506188	95507644		0	+
chr9	96011035	96027993		0	-
chr9	96245435	96291403		0	+
chr9	97675528	97682263		0	+
chr9	98267739	98319995		0	+
