Name	Reason	Role	PMID
LINC00173	[Literature] long intergenic nonprotein coding RNA 173 (LINC00173) was highly expressed in pancreatic cancer tissues. In vitro functional experiments showed that LINC00173 overexpression inhibited the proliferation and invasion of pancreatic cancer cells and promoted cell apoptosis in MIA PaCa-2 and PANC-1 cells. RNA sequencing analysis and Western blot assays demonstrated that LINC00173 reduced the expression of sphingosine kinase 1 (SPHK1) and then inhibited the protein expression of activated phospho-protein kinase B (AKT) and NF-κB. In vivo functional assays also revealed that LINC00173 inhibited the growth of pancreatic cancer xenografts, repressed cell proliferation, promoted cell apoptosis, and inhibited SPHK1 expression. The combined results of this study indicate that LINC00173 inhibits pancreatic cancer progression by repressing SPHK1 expression.	Tumor suppressor gene	33978457
LINC00857	[Literature] knockdown of LINC00857 with siRNAs decreased tumor cell proliferation, colony formation, migration and invasion in vitro, as well as tumor growth in vivo. Overexpression of LINC00857 increased cancer cell proliferation, colony formation and invasion. Mechanistic analyses indicated that LINC00857 mediates tumor progression via cell cycle regulation.	Oncogene	26862852
WWOX-AS1	[Literature] A new tumor suppressor lncRNA RP11-190D6.2 inhibits the proliferation, migration, and invasion of epithelial ovarian cancer cells.	Tumor suppressor gene	28280357
LUNAR1	[Literature] LUNAR1 knockdown significantly repressed cell proliferation of DLBCL by regulating E2F1, cyclin D1 and p21.	Oncogene	26796267
HOTAIRM1	[Literature] The silencing of HOTAIRM1 significantly impairs the proliferation, apoptosis, self-renewal, tumorigenesis of GSCs(glioma stem cells ).	Oncogene	31691127
FENDRR	[Literature] Long non-coding RNA FENDRR inhibits migration and invasion of cutaneous malignant melanoma cells.FENDRR mediated the metastasis phenotype of MM(malignant melanoma) cells by inhibiting the expressions of MMP2 and MMP9 and antagonizing the JNK/c-Jun pathway.	Tumor suppressor gene	32134466
CEBPA-DT	[Literature] Silence of CEBPA-AS1 inhibited OSCC(Oral squamous cell carcinoma)cells proliferation and induced cells apoptosis, migration and invasion by targeting CEBPA and via a novel pathway CEBPA/Bcl2.	Oncogene	29281558
INHBA-AS1	[Literature] NHBA-AS1 downregulation in CRC(colorectal cancer )cells suppressed CRC cell proliferation as well as colony formability. LncRNA INHBA-AS1 promotes colorectal cancer cell proliferation by sponging miR-422a to increase AKT1 axis	Oncogene	33090398
MIR4435-2HG	[Literature] MIR4435-1HG knockdown inhibited cell proliferation, and suppressed the migrating and invasive capacity of renal carcinoma cells.	Oncogene	32538823
THORLNC	[Literature] THOR could promote HCC cell growth and metastasis by amplifying PTEN/AKT signaling.THOR depletion resulted in significant inhibition of the growth and metastasis of HCC cells.	Oncogene	30098425
DANCR	[Literature] the knockdown of lncRNA DANCR inhibited cell proliferation and autophagy of HCC cells. lncRNA DANCR induced cell proliferation, colony formation and autophagy by increasing ATG7 and suppressing miR-222-3p.	Oncogene	32964966
PCGEM1	[Literature] LncRNA PCGEM1 was upregulated in glioma tissues and tumor cell lines. PCGEM1 upregulation predicted unsatisfactory prognosis. PCGEM1 knockdown inhibited proliferation, colony formation, migration and invasion. PCGEM1 knockdown delayed tumor growth in vivo. PCGEM1 played as a competing endogenous RNA (ceRNA) for miR-539-5p to promote CDK6 expression.	Oncogene	33589577
GAS5-AS1	[Literature] lncRNA GAS5-AS1 inhibited glioma proliferation, migration, and invasion by sponging miR-106b-5p and regulating the expression of TUSC2.GAS5-AS1 expression was downregulated in glioma tissues and cells, and upregulation of GAS5-AS1 expression inhibited glioma cell proliferation, migration, and invasion.	Tumor suppressor gene	32072565
LINC00525	[Literature] LINC00525 expression was significantly upregualted in NSCLC(non-small cell lung cancer) tissues and cell lines, and correlated with poor prognosis. LINC00525 depletion inhibited the proliferation, migration and invasion in NSCLC cell line A549 and SPC-A1 cells. In vivo study further confirmed that LINC00525 knockdown inhibited tumor growth in nude model. Mechanically, LINC00525 served as a molecular sponge for miR-338-3p, and modulated expression of endogenous miR-338-3p-targeted insulin receptor substrate 2(IRS2).	Oncogene	31991382
CRNDE	[Literature] Long noncoding RNA CRNDE promotes non-small cell lung cancer progression via sponging microRNA-338-3p.knockdown of CRNDE significantly inhibited NSCLC(non-small cell lung cancer) cell proliferation, colony formation, migration and invasionin vitro, and decreased the xenograft tumor volume and weight in vitro.miR-338-3p is a downstream target of CRNDE and that miR-338-3p inhibition partially reversed the CRNDE depletion-mediated inhibitory effect on cell proliferation, colony formation, migration and invasion in NSCLC cells.	Oncogene	30554121
CASC15	[Literature] CASC15 expression was remarkably upregulated in NSCLC samples compared with that in adjacent samples. Cell proliferation, invasion, and migration in NSCLC(non-small cell lung cancer) were inhibited via knockdown of CASC15 in vitro. Moreover, RT-qPCR results revealed that miR-130b-3p was upregulated via knockdown of CASC15 in vitro. In addition, miR-130b-3p was a direct target of CASC15 in NSCLC. Tumor formation and metastasis were inhibited after CASC15 was knockdown in vivo.	Oncogene	31599419
HOXA-AS2	[Literature] LncRNA HOXA-AS2 promotes the progression of prostate cancer via targeting miR-509-3p/PBX3 axis.HOXA-AS2 depletion obviously influenced cell proliferation, migration, invasion, as well as epithelial-to-mesenchymal transition (EMT) progression.	Oncogene	32519740
SNHG6	[Literature] SNHG6 promoted EMT and BC cell proliferation and migration by acting as a miR-543 sponge and disinhibiting LAMC1/PI3K/AKT pathway.	Oncogene	33782812
LncARSR	[Literature] lncARSR sponges miR‐34a‐5p to promote colorectal cancer invasion and metastasis via hexokinase‐1‐mediated glycolysis.Functionally, ectopic expression of lncARSR promoted the invasion, metastasis, and glycolysis metabolic reprogramming of CRC cells in vitro and in vivo, while these activities were inhibited by silencing lncARSR expression.	Oncogene	32798250
LINC00472	[Literature] Forced expression of LINC00472 suppressed cell proliferation, migration, invasion and promoted cell apoptosis in HCC cells Huh-7 and SMMC-7721. MiR-93-5p was a direct target of LINC00472, and miR-93-5p directly targeted PDCD4. The miR-93-5p/PDCD4 pathway mediated the suppressing role of LINC00472 in HCC cells.	Tumor suppressor gene	30522853
LINC01551	[Literature] Inhibition of LINC01551 Impeded NPC Cell Proliferation and Metastasis.	Oncogene	32329849
MCM3AP-AS1	[Literature] LncRNA MCM3AP-AS1 inhibits cell proliferation in cervical squamous cell carcinoma by down-regulating miRNA-93.	Tumor suppressor gene	31985002
GAS1RR	[Literature] The Shh-GLI1 pathway associated lncRNA-Hh, transcriptionally regulated by Twist, directly targets GAS1 to stimulate the activation of hedgehog signaling (Hh). The activated Hh increases GLI1 expression, and enhances the expression of SOX2 and OCT4 to play a regulatory role in CSC maintenance. Thus, the mammosphere-formation efficiency (MFE) and the self-renewal capacity in vitro, and oncogenicity in vivo in Twist-positive breast cancer cells are elevated. lncRNA-Hh silence in Twist-positive breast cells attenuates the activated Shh-GLI1 signaling and decreases the CSC-associated SOX and OCT4 levels, thus reduces the MFE and tumorigenesis of transplanted tumor.	Oncogene	26418365
NEAT1	[Literature] NEAT1 negatively regulated cell proliferation and migration of neuroblastoma by the miR-183-5p/FOXP1 axis via suppression of the ERK/AKT pathway.	Tumor suppressor gene	32693640
SNHG1	[Literature] High expression of lncRNA SNHG1 in prostate cancer patients and inhibition of SNHG1 suppresses cell proliferation and promotes apoptosis.	Oncogene	33154308
RHPN1-AS1	[Literature] In vitro functional assays demonstrated that RHPN1-AS1 overexpression promoted SiHa cell proliferation, invasion and migration; while RHPN1-AS1 knockdown showed the opposite effects.	Oncogene	31525429
EGFR-AS1	[Literature] EGFR-AS1 significantly up-regulated in GC tissues and correlated with tumor size. And the expression of EGFR-AS1 positively correlated with EGFR in tissues. Moreover, knock-down of EGFR-AS1 inhibited the proliferation of GC cells via suppressing EGFR-dependent PI3K/AKT pathway in vitro and in vivo. Mechanismly, depletion of EGFR-AS1 was found to decrease EGFR expression by reduction of EGFR mRNA stability.	Oncogene	30138934
GHET1	[Literature] GHET1 was up-regulated in osteosarcoma tissues and cell lines, inhibited cell apoptosis, promoted cell proliferation, invasion and migration by affecting EMT in vitro, and was correlated with the tumor growth and metastasis in vivo.	Oncogene	30475755
LINC00461	[Literature] Knockdown of LINC00461 inhibits cell proliferation and induces apoptosis in gastric cancer by targeting LSD1.LINC00461 is upregulated in GC(gastric cancer), which is positively related to TNM staging and lymphatic metastasis. LINC00461 mediates proliferation and apoptosis of GC cells, thereafter aggravating the progression of GC.	Oncogene	31858544
LINC00460	[Literature] Downregulated LINC00460 inhibits cell proliferation and promotes cell apoptosis in prostate cancer.downregulation of LINC00460 promoted apoptosis of cell lines and was related to PI3K/AKT pathway.	Oncogene	31364108
ACTA2-AS1	[Literature] Knockdown of ACTA2-AS1 promotes liver cancer cell proliferation, migration and invasion.	Oncogene	30664183
MINCR	[Literature] Long noncoding RNA MINCR regulates cellular proliferation, migration, and invasion in hepatocellular carcinoma.	Oncogene	29550632
TRPM2-AS	[Literature] downregulation of TRPM2-AS inhibited the cell proliferation, migration, and invasion significantly (p < .05). TRPM2-AS inhibits the growth, migration, and invasion of gliomas through JNK, c-Jun, and RGS4.	Oncogene	31637708
LSINCT5	[Literature] Knockdown of lncRNA LSINCT5 suppresses growth and metastasis of human glioma cells via up-regulating miR-451.	Oncogene	31213092
LINC01234	[Literature] LINC01234 knockdown suppressed cell proliferation, migration, and invasion of colorectal cancer cells, while blocked cell cycle and induced cell apoptosis.	Oncogene	31904146
LINC-ROR	[Literature] LincRNA-ROR promotes invasion, metastasis and tumor growth in pancreatic cancer through activating ZEB1 pathway.	Oncogene	26898939
DDX11-AS1	[Literature] Long non-coding RNA DDX11-AS1 facilitates gastric cancer progression by regulating miR-873-5p/SPC18 axis.knockdown of DDX11-AS1 repressed cell proliferation and clone formation, while induced cell cycle arrest and apoptosis. As expected, DDX11-AS1 overexpression displayed the opposite effect.	Oncogene	32054332
LINC00974	[Literature] LncRNA LINC00974 Upregulates CDK6 to Promote Cell Cycle Progression in Gastric Carcinoma.	Oncogene	31596614
LINC00887	[Literature] Linc00887 suppresses tumorigenesis of cervical cancer through regulating the miR-454-3p/FRMD6-Hippo axis.	Tumor suppressor gene	33413358
OTUD6B-AS1	[Literature] Novel long noncoding RNA OTUD6B-AS1 indicates poor prognosis and inhibits clear cell renal cell carcinoma proliferation via the Wnt/β-catenin signaling pathway.	Tumor suppressor gene	30670025
MBNL1-AS1	[Literature] LncRNA MBNL1-AS1 represses cell proliferation and enhances cell apoptosis via targeting miR-135a-5p/PHLPP2/FOXO1 axis in bladder cancer.	Tumor suppressor gene	31769229
ASMTL-AS1	[Literature] Long non-coding RNA ASMTL-AS1 inhibits tumor growth and glycolysis by regulating the miR-93-3p/miR-660/FOXO1 axis in papillary thyroid carcinoma.	Tumor suppressor gene	31953163
FAM30A	[Literature] lncRNA KIAA0125 functions as a tumor suppressor modulating growth and metastasis of colorectal cancer via Wnt/β-catenin pathway.overexpression of KIAA0125 suppressed cell proliferation, migration, and invasion whereas the reversal effects were seen in silencing experiment.	Tumor suppressor gene	31228314
MIR503HG	[Literature] LncRNA MIR503HG inhibits cell migration and invasion via miR-103/OLFM4 axis in triple negative breast cancer.	Tumor suppressor gene	31062436
LINC01089	[Literature] Long Non-Coding RNA 001089 is a Prognostic Marker and Inhibits Glioma Cells Proliferation and Invasion.	Tumor suppressor gene	30868865
HCG11	[Literature] overexpression of HCG11 inhibited cell proliferation, invasion, and migration, whereas induced cell apoptosis by regulating miR-543 expression in vitro and in vivo. More than that, lncRNA HCG11 inhibited phosphoinositide-3 kinase/protein kinaseB (PI3K/AKT) signaling pathway to suppress Prostate cancer progression.	Tumor suppressor gene	31228307
TUSC8	[Literature] LncRNA TUSC8 inhibits the invasion and migration of cervical cancer cells via miR-641/PTEN axis.	Tumor suppressor gene	31033083
LINC01939	[Literature] LINC01939 inhibits the metastasis of gastric cancer by acting as a molecular sponge of miR-17-5p to regulate EGR2 expression.	Tumor suppressor gene	30683847
LINC00968	[Literature] Long non-coding RNA LINC00968 reduces cell proliferation and migration and angiogenesis in breast cancer through up-regulation of PROX1 by reducing hsa-miR-423-5p.	Tumor suppressor gene	31213129
LINC01133	[Literature] LINC01133 inhibited nasopharyngeal carcinoma cell proliferation, invasion and migration both in vitro and in vivo.	Tumor suppressor gene	31106003
ZNF667-AS1	[Literature] Aberrant methylation and downregulation of ZNF667-AS1 and ZNF667 promote the malignant progression of laryngeal squamous cell carcinoma.Overexpression of ZNF667-AS1 reduced the proliferation, migration, and invasion ability of AMC-HN-8 and TU177 cells.	Tumor suppressor gene	30684967
DRAIC	[Literature] LncRNA DRAIC inhibits proliferation and metastasis of gastric cancer cells through interfering with NFRKB deubiquitination mediated by UCHL5.	Tumor suppressor gene	32351584
SNHG15	[Literature] SNHG15 overexpression suppressed cell proliferation, migration, and invasion in thyroid cancer.	Tumor suppressor gene	30623483
MIR124-1HG	[Literature] up-regulation of LINC00599 depressed glioma cell migration and invasion through regulating epithelial-mesenchymal transition (EMT) process.	Tumor suppressor gene	30867254
LNCNEF	[Literature] LncRNA NEF overexpression inhibited the migration and invasion of triple-negative breast cancer cells.	Tumor suppressor gene	30839051
A1BG-AS1	[Literature] lncRNA A1BG-AS1 suppresses proliferation and invasion of hepatocellular carcinoma cells by targeting miR-216a-5p.	Tumor suppressor gene	30556161
ADAMTS9-AS2	[Literature] LncRNA ADAMTS9-AS2 inhibits cell proliferation and decreases chemoresistance in clear cell renal cell carcinoma via the miR-27a-3p/FOXO1 axis.	Tumor suppressor gene	31400752
SENCR	[Literature] SENCR contributes to the regulation of endothelial differentiation from pluripotent cells and controls the angiogenic capacity of HUVEC(human umbilical endothelial cell).	General	26898221
AFDN-DT	[Literature] AFDN-DT, an lncRNA that is repressed in gastric cancers (GC), functions as a tumour suppressor by inhibiting cell growth and metastasis through transcriptional repression of genes involved in metastasis.	Tumor suppressor gene	31981317
PICSAR	[Literature] Narcolepsy candidate-region 1 gene (NLC1-C) is an lncRNA expressing in the cytoplasm of spermatogonia and early spermatocytes. It was found that the over-expression of NLC1-C promoted cell growth whereas its loss inhibited cell growth and promoted apoptosis.	General	26539909
MHRT	[Literature] restoring Mhrt to the pre-stress level protects the heart from hypertrophy and failure.MHRT lncRNA protects the heart from pathological hypertrophy.	General	25119045
